,Clinic Name,Distance and Status,Address,Location,Contact Info
45,Tein Clinic & Surgery,10.07 km - Closing in 2 hr 0 min,124 Hougang Ave 1 #01-1434,Singapore 530124,T +65 6282 8504
46,Cheng Clinic,10.07 km - Closing in 1 hr 45 min,447 Ang Mo Kio Ave 10 #01-1677,Singapore 560447,T +65 6454 2482
47,AMK Family Clinic,10.08 km - Closing in 0 hr 30 min,51 Ang Mo Kio Ave 3 #01-01 NO 51 @ AMK,Singapore 569922,T +65 6454 4204
48,Lim Clinic,10.09 km - Closing in 2 hr 0 min,446 Ang Mo Kio Ave 10 #01-1663,Singapore 560446,T +65 6454 9172
49,Healthlink (AMK) Medical Centre,10.15 km - Closing in 2 hr 0 min,108 Ang Mo Kio Ave 4 #01-86,Singapore 560108,T +65 6457 1636
50,Advantage Medical Clinic,10.16 km - Closing in 3 hr 30 min,1 Fifth Ave Guthrie House #03-12,Singapore 268802,T +65 6467 1344
51,Tay Clinic,10.17 km - Closing in 3 hr 0 min,117 Bedok Reservoir Road #01-62,Singapore 470117,T +65 6741 9936
52,Wong Family Clinic & Surgery,10.17 km - Closing in 2 hr 30 min,117 Bedok Reservoir Road #01-68,Singapore 470117,T +65 6846 1613
53,Alliance Clinic & Partners,10.17 km - Closing in 2 hr 0 min,652 Jalan Tenaga #01-50,Singapore 410652,T +65 6846 9585
54,Bok Family Clinic,10.17 km - Closing in 2 hr 0 min,117 Bedok Reservoir Road #01-58,Singapore 470117,T +65 6747 8200
55,Onecare Clinic Ang Mo Kio,10.17 km - Closing in 0 hr 30 min,452 Ang Mo Kio Avenue 10 #01-1789,Singapore 560452,T +65 6592 0764
56,Mediline Wei Min Clinic,10.18 km - Closing in 7 hr 30 min,14 Kensington Park Road,Singapore 557265,T +65 6288 6029
57,Northeast Medical Group (AMK),10.19 km - Closing in 7 hr 30 min,2450 Ang Mo Kio Ave 8 #01-02 Ang Mo Kio Mrt Station,Singapore 569811,T +65 6452 4910
58,Ee Clinic,10.19 km - Closing in 2 hr 0 min,128 Ang Mo Kio Ave 3 #01-1859,Singapore 560128,T +65 6452 1042
59,Kensington Family Clinic,10.19 km - Closing in 0 hr 30 min,14D Kensington Park Road #Serangoon Garden,Singapore 557265,T +65 6288 4882
60,JJ Clinic & Surgery,10.2 km - Closing in 1 hr 59 min,107 Ang Mo Kio Ave 4 #01-150,Singapore 560107,T +65 6459 5594
61,Teck Ghee Clinic,10.21 km - Closing in 5 hr 59 min,451 Ang Mo Kio Ave 10 #01-1765,Singapore 560451,T +65 6452 7971
62,Joyspring Family Clinic,10.21 km - Closing in 0 hr 29 min,133 Ang Mo Kio Ave 3 #01-1643,Singapore 560133,T +65 6455 1560
63,Pancare Medical Clinic,10.21 km - Closed,133 Ang Mo Kio Ave 3 #01-1651,Singapore 560133,T +65 6258 3186
64,Singapore Aeromedical Centre,10.22 km - Closing in 2 hr 59 min,492 Airport Road #01-01 Aeromedical Centre,Singapore 539945,T +65 6488 0627
65,Hill Spring Medical,10.22 km - Closing in 1 hr 29 min,12 Jalan Leban #Sembawang Hills Estate,Singapore 577552,T +65 6456 3200
66,Peace Family Clinic & Surgery,10.24 km - Closing in 2 hr 29 min,452 Ang Mo Kio Ave 10 #01-1787,Singapore 560452,T +65 6451 6558
67,SATA Commhealth Medical Centre - Ang Mo Kio,10.24 km - Closing in 2 hr 29 min,715 Ang Mo Kio Ave 6 #01-4008 & 4010,Singapore 560715,T +65 6244 6688
68,Tan & Koh Clinic & Surgery (Bedok Reservoir),10.27 km - Closing in 1 hr 59 min,121 Bedok Reservoir Road #01-196,Singapore 470121,T +65 6745 2288
69,Singapore Family Clinic & Surgery (Hougang),10.28 km - Closing in 2 hr 29 min,108 Hougang Ave 1 #01-1299,Singapore 530108,T +65 6284 9692
70,OneDoctors Family Clinic (AMK),10.29 km - Closing in 8 hr 29 min,710 Ang Mo Kio Ave 8 #01-2613,Singapore 560710,T +65 6554 2918
71,Life Family Clinic,10.3 km - Closing in 2 hr 59 min,713 Ang Mo Kio Ave 6 #01-4052,Singapore 560713,T +65 6456 3535
72,Ang Mo Kio Family Medicine Clinic,10.34 km - Closing in 2 hr 29 min,4190 Ang Mo Kio Ave 6 #03-01 Broadway Plaza,Singapore 569841,T +65 6554 1133
73,A1 Medical Clinic,10.34 km - Closed,Blk 418 Bedok North Avenue 2  ##01-63,Singapore 460418,T +65 6493 0198 F +65 6493 0189
74,RafflesMedical (Ang Mo Kio),10.4 km - Closing in 2 hr 59 min,722 Ang Mo Kio Ave 8 #01-2825,Singapore 560722,T +65 6453 2288
75,Shenton Family Medical Clinic  (Ang Mo Kio),10.42 km - Closing in 2 hr 44 min,728 Ang Mo Kio Ave 6 #01-4208,Singapore 560728,T +65 6554 5130
76,Healthway Medical Clinic (AMK Ave 8),10.43 km - Closing in 7 hr 29 min,721 Ang Mo Kio Ave 8 #01-2801,Singapore 560721,T +65 6455 4629
77,Family Medicare Clinic & Surgery,10.43 km - Closing in 1 hr 29 min,721 Ang Mo Kio Ave 8 #01-2815,Singapore 560721,T +65 6456 6582
78,Frontier Medical Associates (AMK),10.44 km - Closing in 1 hr 59 min,163 Ang Mo Kio Ave 4 #01-426,Singapore 560163,T +65 6453 2571
79,Lifecare Family Clinic & Surgery,10.45 km - Closing in 1 hr 59 min,106 Hougang Ave 1 #01-1221,Singapore 530106,T +65 6282 2482
80,PK Ang Family Clinic & Surgery,10.45 km - Closing in 1 hr 59 min,106 Hougang Ave 1 #01-1225,Singapore 530106,T +65 6284 3022
81,Drs Lim & Chan Clinic,10.45 km - Closed,106 Hougang Ave 1 #01-1235,Singapore 530106,T +65 6280 0990
82,Well Family Clinic & Surgery,10.47 km - Closed,555 Ang Mo Kio Ave 10 #01-1948,Singapore 560555,T +65 6454 9519
83,London (MH) Clinic & Surgery,10.48 km - Closing in 1 hr 14 min,104 Hougang Ave 1 #01-1123,Singapore 530104,T +65 6280 7262
84,OneCare Clinic Hougang,10.48 km - Closing in 0 hr 29 min,104 Hougang Ave 1 #01-1125,Singapore 530104,T +65 6525 0325
85,Pandan Clinic,10.49 km - Closing in 1 hr 59 min,415 Pandan Gardens #01-115,Singapore 600415,T +65 6560 3186
86,Liang Clinic,10.5 km - Closing in 2 hr 29 min,695D East Coast Road,Singapore 459059,T +65 6241 5944
87,Goh Clinic & Surgery,10.52 km - Closing in 1 hr 29 min,204 Hougang St 21 #01-101,Singapore 530204,T +65 6386 3836
88,Vital-Care Clinic And Surgery Pte Ltd,10.53 km - Closing in 0 hr 29 min,Blk 525 Ang Mo Kio Avenue 10 #Cheng San Centre #01-2399,Singapore 560525,T +65 6256 5154 F +65 6391 0279
89,Pinnacle Family Clinic (Serangoon North),10.55 km - Closing in 1 hr 29 min,Blk 518 Serangoon North Ave 4 #B1-208,Singapore 550518,T +65 6219 3910
90,Parkway Shenton Medical Group (Kovan),10.57 km - Closing in 3 hr 29 min,205 Hougang St 21 #03-20 Heartland Mall,Singapore 530205,T +65 6227 7777
91,Intemedical 24 Hour Clinic,10.58 km - Open 24 Hrs,525 Ang Mo Kio Ave 10 #01- 407 Cheng San Centre,Singapore 560525,T +65 6919 2998
92,Healthcare Medical @ Kovan,10.59 km - Closing in 2 hr 29 min,208 Hougang St 21 #01-205,Singapore 530208,T +65 6282 1118
93,Lim Country Clinic,10.59 km - Closing in 1 hr 29 min,208 Hougang St 21 #01-207,Singapore 530208,T +65 6286 8047
94,Grace Clinic & Surgery,10.6 km - Closing in 1 hr 59 min,607 Ang Mo Kio Ave 10 #01-1295,Singapore 560607,T +65 6458 4280
95,Healthcare AMK Medical Clinic,10.63 km - Closed,Blk 157 Ang Mo Kio Avenue 4 #Mayflower Shopping & Food Centre #01-578,Singapore 560157,T +65 6451 1528 F +65 6457 3782
96,Ang Mo Kio Medical Centre,10.64 km - Closing in 3 hr 29 min,157 Ang Mo Kio Ave 4 #01-558,Singapore 560157,T +65 6457 0273
97,RafflesMedical (Siglap Centre),10.64 km - Closing in 2 hr 59 min,55 Siglap Road #02-11/12 Siglap Centre,Singapore 455871,T +65 6442 0488
98,C Y Kok Clinic & Surgery,10.64 km - Closing in 2 hr 29 min,157 Ang Mo Kio Ave 4 #01-562,Singapore 560157,T +65 6458 4777
99,Hui Clinic & Surgery,10.64 km - Closing in 2 hr 29 min,157 Ang Mo Kio Ave 4 #01-566,Singapore 560157,T +65 6458 8596
100,Liang Clinic,10.64 km - Closing in 2 hr 29 min,55 Siglap Road #Siglap Centre #B1-15/16,Singapore 455871,T +65 6241 5944 F +65 6445 0141
101,Chua Medico Clinic LLP,10.64 km - Closing in 1 hr 59 min,529 Ang Mo Kio Ave 10 #01-2323,Singapore 560529,T +65 6456 2275
102,Sennett Medical Clinic,10.64 km - Closing in 1 hr 28 min,55 Siglap Road #B1-15 Siglap Centre,Singapore 455871,T +65 6280 0670
103,Intemedical (Kovan),10.68 km - Closing in 9 hr 28 min,Blk 210 Hougang Street 21 #01-233,Singapore 530210,T +65 6243 3036
104,K L Tay Clinic & Surgery,10.68 km - Closing in 1 hr 58 min,632 Bedok Reservoir Road #01-822,Singapore 470632,T +65 6448 1630
105,Pan Island Clinic & Surgery,10.68 km - Closing in 1 hr 58 min,632 Bedok Reservoir Road #01-804,Singapore 470632,T +65 6445 3747
106,Phoon Clinic & Surgery,10.68 km - Closing in 1 hr 28 min,632 Bedok Reservoir Road #01-828,Singapore 470632,T +65 6445 2119
107,Atrio Family Clinic (AMK),10.71 km - Closed,532 Ang Mo Kio Ave 10 #01-2461,Singapore 560532,T +65 6455 4280
108,DR+ Medical Paincare Clinic,10.71 km - Closed,988 UPPER SERANGOON ROAD #01-07 STARS OF KOVAN,Singapore 534733,T +65 6908 6570
109,Kang Clinic,10.71 km - Closed,Blk 532 Ang Mo Kio Avenue 10 #Cheng San Centre #01-2465,Singapore 560532,T +65 6481 1044
110,Advantage Medical (Bedok),10.74 km - Closing in 6 hr 28 min,Blk 632 Bedok Reservoir Rd #01-880,Singapore 470632,T +65 6015 0207
111,Nuffield Medical Siglap,10.76 km - Closing in 3 hr 28 min,914 East Coast Road #01-03 The Domain,Singapore 459108,T +65 6636 3083
112,Chiew Clinic,10.8 km - Closing in 2 hr 28 min,2 Kovan Road #01-09 Simon Plaza,Singapore 548008,T +65 6382 8002
113,Simon Road Family Clinic,10.83 km - Closed,9 Simon Road,Singapore 545895,T +65 6287 8755
114,DR+ Medical & Paincare Hougang,10.84 km - Closing in 0 hr 28 min,1187 Upper Serangoon Road #01-54 The Midtown,Singapore 533971,T +65 6320 0118
115,Balkis Family Clinic,10.86 km - Closing in 3 hr 28 min,631 Bedok Reservoir Road #01-968,Singapore 470631,T +65 6445 4711
116,Aidan Medical Clinic,10.86 km - Closing in 2 hr 28 min,Blk 539 Bedok North Street 3 #01-623,Singapore 460539,T +65 6970 7820
117,Eastern Medical Centre,10.86 km - Closing in 1 hr 28 min,631 Bedok Reservoir Road #01-896,Singapore 470631,T +65 6448 7628
118,Healthplus Clinic and Surgery,10.86 km - Closed,631 Bedok Reservoir Road #01-898,Singapore 470631,T +65 6446 0529
119,Hisemainn Medical Clinic (Bukit Batok),10.9 km - Closing in 0 hr 58 min,289E Bukit Batok St 25 #01-160,Singapore 654289,T +65 6569 1375
